idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1947213,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947229,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947234,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947241,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947242,2021-08-02 08:08:00,2021-08-03 06:08:00,0,22,800149695,2021-08-04
1947244,2021-08-02 08:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947253,2021-08-02 08:08:00,NN,NN,NN,800149695,2021-08-04
1947271,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947285,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947300,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947314,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947359,2021-08-02 08:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947362,2021-08-02 08:08:00,2021-08-03 10:08:00,1,26,800149695,2021-08-04
1947373,2021-08-02 08:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947419,2021-08-02 08:08:00,2021-08-03 06:08:00,0,22,800149695,2021-08-04
1947425,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947433,2021-08-02 08:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947473,2021-08-02 08:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947474,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947481,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947491,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947495,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947502,2021-08-02 08:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947524,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947525,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947535,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947545,2021-08-02 08:08:00,2021-08-03 06:08:00,0,22,800149695,2021-08-04
1947556,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947557,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947584,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947586,2021-08-02 08:08:00,NN,NN,NN,800149695,2021-08-04
1947591,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947612,2021-08-02 08:08:00,2021-08-05 19:08:00,3,82,800149695,2021-08-05
1947615,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947621,2021-08-02 08:08:00,2021-08-03 06:08:00,0,22,800149695,2021-08-04
1947624,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947629,2021-08-02 08:08:00,2021-08-05 19:08:00,3,82,800149695,2021-08-05
1947633,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947646,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947648,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947664,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947668,2021-08-02 08:08:00,2021-08-03 06:08:00,0,22,800149695,2021-08-04
1947683,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947688,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947705,2021-08-02 08:08:00,2021-08-04 02:08:00,1,41,800149695,2021-08-04
1947718,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947722,2021-08-02 08:08:00,2021-08-05 19:08:00,3,82,800149695,2021-08-05
